x,y,x2,y2,color
15,250,34,450,inversed
75,250,54,450,same orientation
22,250,29,450,inversed
20,250,32,450,same orientation
77,250,73,450,inversed
40,250,53,450,inversed
69,250,65,450,same orientation
7,250,6,450,same orientation
7,250,6,0,same orientation
18,250,36,450,inversed
78,250,74,450,same orientation
64,250,60,450,same orientation
33,250,5,0,inversed
33,250,4,450,inversed
33,250,56,450,inversed
53,250,10,450,same orientation
53,250,10,0,same orientation
82,250,16,450,same orientation
80,250,76,450,inversed
48,250,45,450,inversed
28,250,24,450,same orientation
34,250,19,450,same orientation
56,250,13,0,same orientation
56,250,13,450,same orientation
61,250,72,450,same orientation
36,250,16,450,inversed
70,250,66,450,same orientation
10,250,41,450,inversed
45,250,48,450,inversed
12,250,39,450,same orientation
12,250,58,450,same orientation
12,250,40,450,same orientation
12,250,35,450,same orientation
2,250,0,450,inversed
2,250,1,0,inversed
5,250,4,450,same orientation
5,250,4,0,same orientation
40,250,53,450,same orientation
40,250,58,450,same orientation
40,250,57,450,same orientation
17,250,32,450,inversed
42,250,51,450,inversed
22,250,7,450,same orientation
33,250,16,450,same orientation
33,250,30,450,same orientation
51,250,8,450,same orientation
51,250,8,0,same orientation
8,250,7,0,same orientation
8,250,7,450,same orientation
66,250,62,450,same orientation
8,250,7,450,inversed
8,250,7,0,inversed
56,250,13,0,inversed
36,250,16,450,same orientation
34,250,19,450,inversed
63,250,59,450,same orientation
54,250,11,450,same orientation
54,250,11,0,same orientation
80,250,76,450,same orientation
82,250,16,0,inversed
82,250,18,450,inversed
39,250,14,450,inversed
39,250,15,0,inversed
59,250,73,450,same orientation
12,250,58,450,inversed
25,250,26,450,inversed
72,250,68,450,same orientation
27,250,23,450,same orientation
47,250,46,450,inversed
49,250,44,450,inversed
29,250,25,450,same orientation
83,250,20,450,same orientation
35,250,18,450,same orientation
35,250,16,0,same orientation
57,250,56,450,same orientation
37,250,17,450,inversed
60,250,71,450,same orientation
71,250,67,450,same orientation
11,250,37,450,inversed
44,250,49,450,inversed
3,250,2,450,same orientation
3,250,2,0,same orientation
14,250,38,450,inversed
23,250,28,450,inversed
74,250,70,450,same orientation
21,250,58,450,same orientation
21,250,56,450,same orientation
21,250,4,450,same orientation
21,250,5,0,same orientation
41,250,52,450,inversed
68,250,64,450,same orientation
6,250,5,450,same orientation
6,250,5,0,same orientation
19,250,35,450,inversed
50,250,43,450,inversed
30,250,26,450,same orientation
32,250,20,450,inversed
65,250,61,450,same orientation
52,250,9,450,same orientation
52,250,9,0,same orientation
62,250,58,450,same orientation
35,250,16,450,inversed
35,250,16,0,inversed
35,250,18,450,inversed
35,250,15,450,inversed
55,250,12,0,same orientation
55,250,12,450,same orientation
29,250,38,450,inversed
81,250,5,450,same orientation
81,250,5,0,same orientation
83,250,20,450,inversed
1,250,0,0,inversed
1,250,0,450,inversed
38,250,16,0,inversed
38,250,15,450,inversed
1,250,0,450,same orientation
1,250,0,0,same orientation
58,250,57,450,same orientation
13,250,39,450,inversed
73,250,69,450,same orientation
24,250,27,450,inversed
26,250,22,450,same orientation
46,250,47,450,inversed
4,250,3,0,inversed
4,250,3,450,inversed
76,250,55,450,same orientation
21,250,30,450,inversed
21,250,16,450,inversed
21,250,22,450,inversed
16,250,33,450,inversed
43,250,50,450,inversed
9,250,42,450,inversed
67,250,63,450,same orientation
79,250,76,450,inversed
