x,y,x2,y2,color
24,250,4,450,inversed
24,250,5,450,inversed
13,250,18,450,inversed
13,250,14,450,same orientation
13,250,18,450,same orientation
9,250,7,450,inversed
4,250,18,450,inversed
4,250,17,450,inversed
5,250,18,450,same orientation
5,250,14,450,same orientation
21,250,11,450,same orientation
16,250,17,450,inversed
16,250,5,450,inversed
8,250,5,450,same orientation
8,250,7,450,same orientation
8,250,17,450,same orientation
8,250,6,450,same orientation
6,250,6,450,inversed
6,250,17,450,inversed
2,250,17,450,same orientation
2,250,6,450,same orientation
0,250,8,450,inversed
19,250,10,450,inversed
19,250,9,450,inversed
23,250,13,450,same orientation
14,250,17,450,same orientation
14,250,6,450,same orientation
14,250,17,450,inversed
14,250,6,450,inversed
4,250,18,450,same orientation
4,250,5,450,same orientation
4,250,7,450,same orientation
4,250,17,450,same orientation
17,250,15,450,inversed
20,250,9,450,inversed
9,250,17,450,same orientation
9,250,5,450,same orientation
25,250,4,450,same orientation
8,250,17,450,inversed
8,250,6,450,inversed
1,250,14,450,same orientation
5,250,18,450,inversed
2,250,17,450,inversed
2,250,6,450,inversed
6,250,17,450,same orientation
6,250,6,450,same orientation
18,250,13,450,same orientation
22,250,11,450,inversed
10,250,5,450,same orientation
10,250,17,450,same orientation
27,250,5,450,same orientation
3,250,14,450,same orientation
