x,y,x2,y2,orientation
39,250,33,450,inversed
39,250,33,0,inversed
39,250,43,450,inversed
12,250,11,0,inversed
25,250,19,450,inversed
25,250,19,0,inversed
27,250,46,450,same orientation
27,250,45,0,same orientation
47,250,25,450,inversed
47,250,25,0,inversed
10,250,10,450,same orientation
10,250,1,450,same orientation
56,250,55,0,inversed
61,250,48,450,inversed
61,250,47,0,inversed
34,250,38,450,inversed
34,250,38,0,inversed
54,250,52,0,same orientation
54,250,48,450,same orientation
6,250,4,450,inversed
6,250,5,0,same orientation
28,250,44,0,inversed
28,250,44,450,inversed
53,250,48,450,inversed
53,250,51,0,inversed
51,250,49,0,same orientation
31,250,41,450,inversed
31,250,41,0,inversed
18,250,16,450,same orientation
18,250,17,0,same orientation
3,250,2,450,same orientation
3,250,2,0,same orientation
20,250,24,450,inversed
20,250,24,0,inversed
42,250,30,0,inversed
15,250,8,450,same orientation
27,250,45,0,inversed
10,250,13,0,inversed
9,250,8,0,same orientation
12,250,11,450,same orientation
45,250,27,0,inversed
45,250,27,450,inversed
9,250,7,450,inversed
39,250,34,0,same orientation
39,250,34,450,same orientation
59,250,30,450,inversed
59,250,30,0,inversed
4,250,3,450,same orientation
4,250,3,0,same orientation
48,250,24,450,inversed
48,250,24,0,inversed
54,250,47,450,inversed
54,250,51,0,inversed
56,250,52,450,same orientation
36,250,36,450,inversed
36,250,36,0,inversed
61,250,51,0,same orientation
18,250,17,0,inversed
1,250,0,450,inversed
1,250,0,0,inversed
1,250,1,450,inversed
51,250,50,450,inversed
33,250,39,450,inversed
33,250,39,0,inversed
53,250,51,0,same orientation
53,250,48,450,same orientation
42,250,30,450,same orientation
15,250,14,0,inversed
22,250,22,450,inversed
20,250,24,450,same orientation
17,250,15,450,same orientation
17,250,16,0,same orientation
40,250,32,450,inversed
40,250,32,0,inversed
52,250,49,450,inversed
52,250,50,0,inversed
52,250,49,0,inversed
50,250,48,0,same orientation
30,250,42,0,inversed
30,250,42,450,inversed
2,250,1,450,inversed
19,250,17,450,same orientation
19,250,18,0,same orientation
2,250,1,450,same orientation
2,250,1,0,same orientation
21,250,23,450,inversed
21,250,23,0,inversed
21,250,21,450,inversed
21,250,22,0,inversed
14,250,13,450,same orientation
14,250,9,0,same orientation
43,250,29,0,inversed
43,250,29,450,inversed
23,250,23,0,same orientation
23,250,22,450,same orientation
23,250,23,450,same orientation
23,250,21,450,same orientation
23,250,22,0,same orientation
38,250,34,0,inversed
38,250,34,450,inversed
58,250,54,450,same orientation
13,250,10,0,inversed
24,250,20,450,inversed
24,250,20,0,inversed
26,250,45,450,same orientation
11,250,11,450,same orientation
46,250,26,0,inversed
46,250,26,450,inversed
57,250,54,0,inversed
60,250,22,450,inversed
60,250,23,0,inversed
60,250,10,0,inversed
35,250,37,450,inversed
35,250,37,0,inversed
62,250,46,0,same orientation
55,250,55,450,same orientation
7,250,6,0,same orientation
7,250,6,450,same orientation
49,250,47,0,same orientation
29,250,43,0,inversed
29,250,43,450,inversed
7,250,6,450,inversed
50,250,51,450,inversed
32,250,40,450,inversed
32,250,40,0,inversed
32,250,39,450,inversed
32,250,39,0,inversed
52,250,50,0,same orientation
52,250,49,450,same orientation
52,250,48,450,same orientation
14,250,9,0,inversed
14,250,13,450,inversed
23,250,21,450,inversed
23,250,21,0,inversed
23,250,23,450,inversed
23,250,23,0,inversed
23,250,22,450,inversed
23,250,24,0,inversed
21,250,23,450,same orientation
21,250,24,0,same orientation
21,250,22,450,same orientation
21,250,22,0,same orientation
21,250,23,0,same orientation
41,250,31,450,inversed
41,250,31,0,inversed
16,250,14,450,same orientation
16,250,15,0,same orientation
8,250,8,450,inversed
26,250,46,0,inversed
11,250,12,0,inversed
8,250,7,0,same orientation
44,250,28,450,inversed
44,250,28,0,inversed
44,250,16,0,inversed
13,250,12,450,same orientation
24,250,19,450,same orientation
38,250,33,0,same orientation
38,250,33,450,same orientation
58,250,53,0,inversed
5,250,4,0,same orientation
49,250,45,450,inversed
5,250,5,450,inversed
62,250,45,450,inversed
55,250,53,0,inversed
57,250,53,450,same orientation
60,250,13,450,same orientation
37,250,35,450,inversed
37,250,35,0,inversed
