x,y,x2,y2,orientation
114,250,223,450,inversed
87,250,192,450,same orientation
87,250,87,0,same orientation
6,250,107,450,inversed
6,250,6,0,same orientation
112,250,113,0,same orientation
18,250,18,0,inversed
78,250,183,450,same orientation
78,250,78,0,same orientation
125,250,229,450,same orientation
125,250,126,0,same orientation
108,250,216,450,inversed
31,250,31,0,same orientation
33,250,126,450,inversed
64,250,169,450,same orientation
64,250,64,0,same orientation
53,250,158,450,same orientation
53,250,53,0,same orientation
42,250,147,450,same orientation
42,250,42,0,same orientation
15,250,8,0,inversed
15,250,115,450,inversed
15,250,114,450,inversed
22,250,137,450,inversed
75,250,180,450,same orientation
75,250,75,0,same orientation
20,250,20,0,same orientation
17,250,123,450,same orientation
17,250,17,0,same orientation
119,250,218,450,inversed
69,250,174,450,same orientation
69,250,69,0,same orientation
103,250,103,0,same orientation
103,250,207,450,same orientation
96,250,96,0,same orientation
96,250,200,450,same orientation
132,250,140,450,inversed
27,250,132,450,inversed
70,250,175,450,same orientation
70,250,70,0,same orientation
47,250,152,450,same orientation
47,250,47,0,same orientation
10,250,13,0,inversed
25,250,25,0,same orientation
93,250,198,450,same orientation
93,250,93,0,same orientation
106,250,106,0,same orientation
131,250,226,450,same orientation
131,250,123,0,same orientation
39,250,144,450,same orientation
39,250,39,0,same orientation
3,250,3,0,same orientation
3,250,110,450,same orientation
28,250,28,0,same orientation
0,250,0,0,same orientation
120,250,121,0,same orientation
117,250,118,0,same orientation
3,250,110,450,inversed
3,250,3,0,inversed
82,250,187,450,same orientation
82,250,82,0,same orientation
111,250,213,450,inversed
34,250,34,0,same orientation
56,250,161,450,same orientation
56,250,56,0,same orientation
61,250,166,450,same orientation
61,250,61,0,same orientation
99,250,203,450,same orientation
99,250,99,0,same orientation
33,250,33,0,same orientation
51,250,51,0,same orientation
51,250,156,450,same orientation
66,250,171,450,same orientation
66,250,66,0,same orientation
31,250,128,450,inversed
116,250,221,450,inversed
121,250,223,450,inversed
4,250,109,450,inversed
85,250,190,450,same orientation
85,250,85,0,same orientation
18,250,141,450,same orientation
4,250,4,0,same orientation
127,250,231,450,same orientation
110,250,111,0,same orientation
101,250,205,450,same orientation
101,250,101,0,same orientation
