x,y,x2,y2,color
97,250,96,0,inversed
68,250,66,450,same orientation
68,250,68,0,same orientation
97,250,91,450,same orientation
157,250,157,0,same orientation
100,250,93,0,inversed
4,250,4,0,same orientation
137,250,184,450,inversed
160,250,160,0,same orientation
160,250,161,450,same orientation
162,250,159,450,inversed
135,250,134,0,same orientation
102,250,101,0,same orientation
155,250,166,450,inversed
16,250,16,0,same orientation
21,250,21,0,same orientation
21,250,200,0,same orientation
181,250,140,450,inversed
74,250,74,0,same orientation
74,250,72,450,same orientation
43,250,34,450,same orientation
43,250,43,0,same orientation
183,250,183,0,same orientation
16,250,61,450,inversed
21,250,56,450,inversed
149,250,172,450,inversed
129,250,125,450,same orientation
129,250,128,0,same orientation
43,250,43,0,inversed
43,250,34,450,inversed
52,250,25,450,inversed
52,250,52,0,inversed
65,250,12,450,inversed
138,250,137,0,same orientation
158,250,163,450,inversed
30,250,47,450,inversed
9,250,9,0,same orientation
192,250,192,0,same orientation
52,250,52,0,same orientation
65,250,65,0,same orientation
190,250,131,450,inversed
190,250,190,0,inversed
30,250,30,0,same orientation
113,250,112,0,same orientation
144,250,177,450,inversed
173,250,148,450,inversed
124,250,123,0,same orientation
79,250,82,450,inversed
79,250,84,0,inversed
126,250,119,450,inversed
126,250,75,450,inversed
171,250,171,0,same orientation
146,250,145,0,same orientation
111,250,105,450,inversed
86,250,86,0,same orientation
86,250,84,450,same orientation
60,250,60,0,same orientation
57,250,57,0,same orientation
8,250,8,0,inversed
8,250,2,450,inversed
35,250,35,0,same orientation
195,250,127,450,inversed
60,250,17,450,inversed
57,250,20,450,inversed
168,250,168,0,same orientation
108,250,108,450,inversed
35,250,42,450,inversed
189,250,132,450,inversed
29,250,29,0,same orientation
83,250,78,450,inversed
83,250,80,0,inversed
176,250,145,450,inversed
121,250,120,0,same orientation
116,250,115,0,same orientation
141,250,180,450,inversed
29,250,48,450,inversed
143,250,142,0,same orientation
114,250,102,450,inversed
123,250,122,450,inversed
