x,y,x2,y2,orientation
27,250,29,450,inversed
27,250,31,0,inversed
10,250,46,450,inversed
10,250,49,0,inversed
5,250,3,450,same orientation
5,250,4,0,same orientation
45,250,11,450,inversed
45,250,13,0,inversed
72,250,71,0,inversed
102,250,96,0,inversed
102,250,83,450,inversed
155,250,66,450,same orientation
137,250,128,450,same orientation
137,250,137,0,same orientation
160,250,98,0,inversed
160,250,90,450,inversed
157,250,33,450,inversed
157,250,36,0,inversed
1,250,0,0,inversed
72,250,69,450,same orientation
91,250,101,450,same orientation
181,250,44,0,same orientation
91,250,107,0,inversed
149,250,148,0,same orientation
59,250,56,450,same orientation
59,250,60,0,same orientation
138,250,129,450,inversed
138,250,139,0,inversed
48,250,10,0,inversed
48,250,8,450,inversed
80,250,76,450,same orientation
80,250,80,0,same orientation
63,250,59,450,same orientation
63,250,64,0,same orientation
54,250,51,450,same orientation
146,250,130,450,inversed
146,250,139,0,inversed
126,250,117,450,same orientation
126,250,126,0,same orientation
36,250,66,450,same orientation
36,250,57,0,same orientation
173,250,66,450,same orientation
173,250,56,450,same orientation
173,250,57,0,same orientation
113,250,104,450,inversed
54,250,58,0,inversed
36,250,20,450,inversed
36,250,22,0,inversed
36,250,52,450,inversed
36,250,94,450,inversed
36,250,56,450,inversed
18,250,41,0,inversed
85,250,81,450,same orientation
85,250,85,0,same orientation
108,250,89,450,same orientation
9,250,6,450,inversed
9,250,8,0,inversed
9,250,5,450,inversed
168,250,114,450,inversed
168,250,123,0,inversed
18,250,39,450,same orientation
51,250,48,450,inversed
51,250,51,0,inversed
33,250,23,450,inversed
33,250,25,0,inversed
99,250,91,450,same orientation
99,250,99,0,same orientation
123,250,114,450,same orientation
123,250,123,0,same orientation
174,250,44,0,inversed
143,250,142,0,inversed
114,250,114,0,same orientation
51,250,51,0,same orientation
51,250,48,450,same orientation
66,250,62,450,same orientation
66,250,66,0,same orientation
116,250,105,450,inversed
141,250,133,450,same orientation
99,250,99,0,inversed
15,250,36,450,same orientation
88,250,110,0,inversed
107,250,91,0,inversed
150,250,151,0,same orientation
77,250,73,450,same orientation
77,250,77,0,same orientation
40,250,52,450,same orientation
40,250,126,450,same orientation
40,250,74,0,same orientation
152,250,142,450,inversed
152,250,152,0,inversed
105,250,86,450,same orientation
132,250,123,450,same orientation
132,250,132,0,same orientation
165,250,143,0,inversed
15,250,44,0,inversed
22,250,34,450,inversed
22,250,37,0,inversed
88,250,98,450,same orientation
40,250,16,450,inversed
40,250,18,0,inversed
40,250,58,450,inversed
40,250,57,0,inversed
40,250,56,0,inversed
40,250,66,450,inversed
94,250,96,450,inversed
94,250,104,0,inversed
179,250,52,450,inversed
119,250,110,450,same orientation
119,250,119,0,same orientation
181,250,36,450,inversed
39,250,17,450,inversed
39,250,19,0,inversed
93,250,105,0,inversed
93,250,97,450,inversed
129,250,120,450,same orientation
129,250,129,0,same orientation
149,250,138,450,inversed
149,250,148,0,inversed
12,250,44,450,inversed
12,250,47,0,inversed
25,250,31,450,inversed
25,250,34,0,inversed
70,250,73,0,inversed
70,250,57,450,inversed
47,250,11,0,inversed
47,250,9,450,inversed
7,250,4,450,same orientation
7,250,6,0,same orientation
100,250,98,0,inversed
100,250,90,450,inversed
12,250,47,0,same orientation
12,250,44,450,same orientation
102,250,83,450,same orientation
102,250,96,0,same orientation
155,250,23,450,inversed
155,250,26,0,inversed
155,250,67,450,inversed
162,250,89,0,inversed
135,250,135,0,same orientation
135,250,126,450,same orientation
70,250,67,450,same orientation
56,250,53,450,same orientation
61,250,58,450,same orientation
61,250,62,0,same orientation
173,250,43,450,inversed
173,250,46,0,inversed
173,250,52,450,inversed
173,250,66,450,inversed
173,250,70,0,inversed
173,250,57,0,inversed
124,250,115,450,same orientation
124,250,124,0,same orientation
