x,y,x2,y2,orientation
15,200,70,400,inversed
15,200,67,0,inversed
22,200,57,0,inversed
22,200,57,400,inversed
40,200,38,0,inversed
46,200,19,400,same orientation
46,200,30,0,same orientation
24,200,53,0,same orientation
7,200,61,0,inversed
7,200,64,400,inversed
5,200,62,400,same orientation
5,200,59,0,same orientation
38,200,39,0,same orientation
38,200,82,400,same orientation
29,200,48,0,same orientation
18,200,71,400,inversed
18,200,68,0,inversed
35,200,42,0,same orientation
51,200,23,400,inversed
33,200,48,400,inversed
48,200,21,400,inversed
63,200,17,0,inversed
54,200,27,400,inversed
54,200,23,0,inversed
30,200,47,0,same orientation
52,200,26,0,same orientation
43,200,15,400,same orientation
27,200,43,400,inversed
10,200,61,0,inversed
10,200,64,400,inversed
45,200,34,0,inversed
59,200,36,400,inversed
59,200,16,0,inversed
59,200,18,0,inversed
5,200,62,400,inversed
5,200,59,0,inversed
58,200,21,0,same orientation
58,200,20,0,same orientation
58,200,35,400,same orientation
58,200,15,0,same orientation
20,200,55,0,inversed
20,200,75,400,inversed
17,200,72,400,inversed
17,200,69,0,inversed
42,200,32,0,inversed
44,200,16,400,same orientation
11,200,66,400,same orientation
26,200,52,0,same orientation
37,200,41,0,same orientation
62,200,36,400,same orientation
53,200,26,400,inversed
53,200,22,0,inversed
31,200,47,400,inversed
8,200,60,0,inversed
8,200,63,400,inversed
49,200,29,0,same orientation
56,200,28,400,inversed
56,200,25,0,inversed
61,200,17,0,inversed
61,200,34,400,inversed
61,200,37,400,inversed
34,200,9,400,inversed
32,200,43,0,same orientation
50,200,29,0,same orientation
28,200,42,400,inversed
19,200,80,400,same orientation
0,200,76,0,same orientation
39,200,39,0,inversed
39,200,12,400,inversed
39,200,82,400,inversed
39,200,40,0,inversed
2,200,74,0,same orientation
2,200,77,400,same orientation
41,200,18,400,same orientation
12,200,64,0,inversed
12,200,67,400,inversed
25,200,42,400,inversed
47,200,20,400,inversed
49,200,22,400,inversed
31,200,46,0,same orientation
53,200,30,400,same orientation
53,200,26,0,same orientation
62,200,17,0,inversed
55,200,28,400,inversed
55,200,24,0,inversed
37,200,9,400,inversed
26,200,41,400,inversed
11,200,63,0,inversed
11,200,66,400,inversed
44,200,32,0,inversed
42,200,17,400,same orientation
3,200,58,400,inversed
3,200,73,0,inversed
1,200,75,0,same orientation
58,200,31,400,inversed
47,200,30,0,same orientation
47,200,31,0,same orientation
25,200,51,0,same orientation
14,200,69,400,inversed
14,200,66,0,inversed
23,200,57,400,inversed
23,200,57,0,inversed
41,200,36,0,inversed
39,200,11,400,same orientation
6,200,58,0,inversed
6,200,61,400,inversed
19,200,53,0,inversed
19,200,74,400,inversed
19,200,11,400,inversed
28,200,50,0,same orientation
50,200,22,400,inversed
32,200,49,400,inversed
34,200,41,0,same orientation
61,200,37,400,same orientation
61,200,34,400,same orientation
61,200,18,0,same orientation
61,200,36,400,same orientation
61,200,19,0,same orientation
61,200,33,400,same orientation
56,200,28,400,same orientation
56,200,25,0,same orientation
33,200,44,0,same orientation
51,200,28,0,same orientation
57,200,25,0,inversed
57,200,29,400,inversed
60,200,19,0,inversed
60,200,33,400,inversed
35,200,81,400,inversed
35,200,8,400,inversed
29,200,45,400,inversed
1,200,78,400,inversed
38,200,11,400,inversed
13,200,68,400,inversed
13,200,65,0,inversed
24,200,40,400,inversed
46,200,19,400,inversed
46,200,56,0,inversed
46,200,39,400,inversed
46,200,21,400,inversed
46,200,58,0,inversed
46,200,4,0,inversed
46,200,41,0,inversed
46,200,56,400,inversed
40,200,13,400,same orientation
59,200,19,0,same orientation
59,200,36,400,same orientation
4,200,59,400,inversed
4,200,71,0,inversed
45,200,15,400,same orientation
27,200,49,0,same orientation
21,200,74,400,inversed
21,200,54,0,inversed
16,200,73,400,inversed
16,200,70,0,inversed
43,200,33,0,inversed
52,200,24,400,inversed
30,200,46,400,inversed
9,200,62,0,inversed
9,200,65,400,inversed
36,200,12,400,same orientation
36,200,40,0,same orientation
63,200,36,400,same orientation
48,200,29,0,same orientation
0,200,79,400,inversed
