x,y,x2,y2,color
107,200,120,400,same orientation
species chimp, chromosome 17
15,200,70,100,inversed
species human, chromosome 17
15,200,67,100,inversed
species human, chromosome 17
22,200,57,100,inversed
species chimp, chromosome 17
22,200,57,100,inversed
165,200,174,0,same orientation
165,200,178,400,same orientation
77,200,132,0,inversed
species human, chromosome 17
40,200,38,100,inversed
88,200,121,0,inversed
88,200,101,400,inversed
species chimp, chromosome 17
46,200,19,100,same orientation
species human, chromosome 17
46,200,30,100,same orientation
71,200,34,400,same orientation
71,200,82,0,same orientation
128,200,145,0,inversed
128,200,170,400,inversed
species human, chromosome 17
24,200,53,100,same orientation
species human, chromosome 17
7,200,61,100,inversed
species chimp, chromosome 17
7,200,64,100,inversed
92,200,105,400,same orientation
species chimp, chromosome 17
5,200,62,100,same orientation
species human, chromosome 17
5,200,59,100,same orientation
161,200,171,0,inversed
161,200,175,400,inversed
156,200,143,400,inversed
156,200,154,0,inversed
94,200,115,0,inversed
103,200,106,0,inversed
134,200,139,0,inversed
134,200,164,400,inversed
species human, chromosome 17
38,200,39,100,same orientation
species chimp, chromosome 17
38,200,82,100,same orientation
125,200,173,400,inversed
125,200,148,0,inversed
species human, chromosome 17
29,200,48,100,same orientation
112,200,97,0,inversed
85,200,124,0,inversed
147,200,163,0,inversed
147,200,151,400,inversed
species chimp, chromosome 17
18,200,71,100,inversed
species human, chromosome 17
18,200,68,100,inversed
139,200,134,0,inversed
139,200,159,400,inversed
species human, chromosome 17
35,200,42,100,same orientation
99,200,110,0,inversed
species chimp, chromosome 17
51,200,23,100,inversed
species chimp, chromosome 17
33,200,48,100,inversed
121,200,134,400,same orientation
116,200,129,400,same orientation
species chimp, chromosome 17
48,200,21,100,inversed
86,200,99,400,same orientation
117,200,92,0,inversed
120,200,89,0,inversed
species chimp, chromosome 6
120,200,132,100,inversed
79,200,42,400,same orientation
142,200,156,400,inversed
142,200,168,0,inversed
80,200,129,0,inversed
80,200,93,400,inversed
species human, chromosome 17
63,200,17,100,inversed
species chimp, chromosome 17
54,200,27,100,inversed
species human, chromosome 17
54,200,23,100,inversed
113,200,126,400,same orientation
124,200,137,400,same orientation
species human, chromosome 17
30,200,47,100,same orientation
species human, chromosome 17
52,200,26,100,same orientation
65,200,29,400,same orientation
65,200,76,0,same orientation
74,200,85,0,same orientation
74,200,37,400,same orientation
species chimp, chromosome 17
43,200,15,100,same orientation
species chimp, chromosome 17
27,200,43,100,inversed
species human, chromosome 17
10,200,61,100,inversed
species chimp, chromosome 17
10,200,64,100,inversed
102,200,115,400,same orientation
species human, chromosome 17
45,200,34,100,inversed
91,200,118,0,inversed
153,200,157,0,inversed
153,200,145,400,inversed
68,200,79,0,same orientation
131,200,142,0,inversed
131,200,167,400,inversed
106,200,103,0,inversed
106,200,119,400,inversed
97,200,180,400,same orientation
97,200,110,400,same orientation
species chimp, chromosome 17
59,200,36,100,inversed
species human, chromosome 17
59,200,16,100,inversed
species human, chromosome 17
59,200,18,100,inversed
119,200,132,400,same orientation
species chimp, chromosome 17
5,200,62,100,inversed
species human, chromosome 17
5,200,59,100,inversed
90,200,103,400,same orientation
154,200,156,0,inversed
154,200,144,400,inversed
species human, chromosome 17
58,200,21,100,same orientation
species chimp, chromosome 20
58,200,0,100,same orientation
species chimp, chromosome 20
58,200,27,100,same orientation
species human, chromosome 20
58,200,26,100,same orientation
species human, chromosome 17
58,200,20,100,same orientation
species chimp, chromosome 7
58,200,60,100,same orientation
species chimp, chromosome 17
58,200,35,100,same orientation
species human, chromosome 17
58,200,15,100,same orientation
species chimp, chromosome 7
58,200,56,100,same orientation
163,200,175,400,inversed
96,200,113,0,inversed
136,200,162,400,inversed
136,200,137,0,inversed
101,200,108,0,inversed
species human, chromosome X
132,200,66,100,same orientation
species human, chromosome 6
132,200,83,100,same orientation
species chimp, chromosome X
132,200,69,100,same orientation
105,200,118,400,same orientation
species human, chromosome 17
20,200,55,100,inversed
species chimp, chromosome 17
20,200,75,100,inversed
species chimp, chromosome 17
17,200,72,100,inversed
species human, chromosome 17
17,200,69,100,inversed
species human, chromosome 17
42,200,32,100,inversed
73,200,36,400,same orientation
73,200,84,0,same orientation
148,200,150,400,inversed
148,200,162,0,inversed
species chimp, chromosome 17
44,200,16,100,same orientation
species chimp, chromosome 17
11,200,66,100,same orientation
species human, chromosome 17
26,200,52,100,same orientation
species human, chromosome 17
37,200,41,100,same orientation
159,200,151,0,inversed
159,200,139,400,inversed
species chimp, chromosome 17
62,200,36,100,same orientation
species chimp, chromosome 17
53,200,26,100,inversed
species human, chromosome 17
53,200,22,100,inversed
species chimp, chromosome 17
31,200,47,100,inversed
114,200,127,400,same orientation
114,200,95,0,same orientation
123,200,136,400,same orientation
