,sp,chr,loc,scr,ms,mc,ml,orientation
6,human,8,116000000,1732.3822,chimp,8,106000000,same
20,human,18,7000000,1663.4731,chimp,18,7000000,same
26,human,9,94000000,1847.1307,chimp,9,92000000,same
42,human,14,85000000,1819.1793,chimp,14,87000000,same
54,human,8,121000000,1836.2091,chimp,8,101000000,same
61,human,5,89000000,2057.8132,chimp,5,134000000,same
63,human,22,5000000,1986.7175,chimp,22,5000000,same
74,human,12,60000000,1901.2588,gorilla,12,69000000,same
96,human,7,152000000,2050.7505,chimp,7,156000000,same
109,human,13,36000000,1684.4727,gorilla,13,40000000,same
110,human,21,32000000,579.6313,chimp,21,31000000,same
114,human,6,44000000,1615.3098,chimp,6,53000000,same
118,human,17,48000000,1563.7966,chimp,17,45000000,same
134,human,12,57000000,1638.7307,gorilla,12,72000000,same
148,human,3,108000000,1801.0154,chimp,3,108000000,same
171,human,15,0,1798.2120000000002,gorilla,15,0,same
173,human,8,97000000,1916.977,chimp,8,126000000,same
176,human,5,5000000,1437.997,chimp,5,14000000,same
183,human,10,99000000,1477.5364,gorilla,10,132000000,same
192,human,X,89000000,1557.9858,gorilla,X,91000000,same
207,human,1,95000000,1592.8778,gorilla,1,93000000,same
215,human,5,149000000,1890.9966,chimp,5,137000000,same
229,human,1,146000000,1462.0464,chimp,1,175000000,same
231,human,6,11000000,1650.5518,chimp,6,15000000,same
234,human,7,70000000,1636.5461,chimp,7,195000000,same
248,human,2,58000000,1834.7155,chimp,2A,15000000,same
252,human,12,35000000,1181.9553,chimp,3,92000000,same
257,human,20,31000000,2029.9048,chimp,20,30000000,same
266,human,1,171000000,1149.1283,gorilla,1,154000000,same
267,human,6,26000000,1782.5638,chimp,6,0,same
269,human,7,107000000,1585.8788,chimp,7,122000000,same
272,human,3,39000000,1469.2415,gorilla,3,38000000,same
322,human,19,0,1134.0948,chimp,15,80000000,same
325,human,6,129000000,1863.1781,chimp,6,133000000,same
334,human,12,109000000,1341.8591,chimp,12,106000000,same
335,human,2,90000000,1842.1848,chimp,9,66000000,same
343,human,10,66000000,1816.1666,chimp,10,69000000,same
347,human,18,32000000,1493.0165,gorilla,18,27000000,same
357,human,5,14000000,2048.332000000001,chimp,5,5000000,same
361,human,Y,17000000,1528.1659,chimp,Y,16000000,same
366,human,4,75000000,1827.1248,chimp,4,52000000,same
379,human,Y,0,1647.7716,chimp,Y,25000000,same
381,human,19,53000000,1208.0416,gorilla,19,55000000,same
383,human,2,126000000,1803.6613,chimp,2B,33000000,same
389,human,11,30000000,1297.7573,gorilla,11,29000000,same
