,sp,chr,loc,scr,ms,mc,ml,orientation
2,chimp,X,27000000,712.6763,human,X,29000000,same
4,chimp,18,58000000,1546.5652,human,18,57000000,same
5,chimp,5,45000000,658.49176,gorilla,17,27000000,same
10,chimp,15,13000000,788.20703,gorilla,15,22000000,same
18,chimp,14,72000000,1978.8651,human,14,54000000,same
27,chimp,19,39000000,2056.5112,human,19,33000000,same
38,chimp,2B,114000000,1737.1136,human,2,223000000,same
39,chimp,12,108000000,1728.4008,human,12,107000000,same
47,chimp,9,58000000,1663.5721,gorilla,9,63000000,same
57,chimp,8,39000000,1458.5558,gorilla,8,20000000,same
58,chimp,15,24000000,1571.5277,human,15,48000000,same
65,chimp,X,10000000,1332.9353,human,X,46000000,same
68,chimp,5,72000000,1843.5247,human,5,39000000,same
87,chimp,3,97000000,1693.9966,gorilla,3,96000000,same
89,chimp,12,4000000,1813.5585,human,12,1000000,same
101,chimp,7,192000000,313.17615,human,8,43000000,same
116,chimp,6,143000000,1344.2415,human,6,119000000,same
129,chimp,12,97000000,1441.28,human,12,118000000,same
133,chimp,2B,6000000,1709.9839,human,2,107000000,same
145,chimp,4,46000000,1838.789,human,4,81000000,same
146,chimp,Y,24000000,1173.5114,human,Y,4000000,same
150,chimp,1,59000000,1707.4491,gorilla,1,73000000,same
165,chimp,15,71000000,2067.021,human,15,68000000,same
175,chimp,X,45000000,1784.9575,human,X,11000000,same
181,chimp,5,10000000,1737.6277,human,5,9000000,same
188,chimp,X,72000000,940.7093,gorilla,X,71000000,same
190,chimp,15,46000000,1768.7422,human,15,26000000,same
205,chimp,11,38000000,2058.0955,gorilla,11,15000000,same
209,chimp,2A,48000000,1597.3467,human,2,26000000,same
212,chimp,4,71000000,1350.7811,human,4,56000000,same
216,chimp,10,113000000,1186.9009,gorilla,10,111000000,same
225,chimp,1,186000000,1450.5195,human,1,190000000,same
228,chimp,6,116000000,1765.2755,human,6,145000000,same
265,chimp,6,121000000,1014.2076400000001,human,6,140000000,same
268,chimp,10,124000000,1644.3883,human,10,126000000,same
270,chimp,13,94000000,1227.9836,human,13,68000000,same
276,chimp,7,43000000,1779.5167,human,7,39000000,same
284,chimp,17,15000000,1139.678,human,17,34000000,same
289,chimp,X,102000000,1421.1075,gorilla,X,96000000,same
300,chimp,6,22000000,1869.6201,gorilla,6,5000000,same
310,chimp,6,15000000,1636.0608,human,6,11000000,same
319,chimp,16,43000000,1493.7931,human,16,32000000,same
324,chimp,1,179000000,1922.5286,human,1,142000000,same
327,chimp,17,22000000,1113.262,human,17,29000000,same
365,chimp,3,100000000,1680.1257,gorilla,3,93000000,same
369,chimp,1,91000000,1637.0596,gorilla,1,104000000,same
380,chimp,5,176000000,1705.4303,human,5,172000000,same
390,chimp,5,141000000,1810.076,gorilla,5,158000000,same
400,chimp,3,137000000,1628.4735,human,3,184000000,same
403,chimp,8,93000000,1908.8495,gorilla,8,133000000,same
420,chimp,10,91000000,1802.4359,gorilla,10,133000000,same
430,chimp,16,16000000,1313.0576,human,16,14000000,same
437,chimp,17,77000000,1886.015,human,17,73000000,same
439,chimp,X,160000000,1526.7048,gorilla,X,98000000,same
444,chimp,2B,18000000,699.78625,gorilla,2B,18000000,same
447,chimp,12,68000000,1554.4736,gorilla,12,84000000,same
459,chimp,17,40000000,1068.6646,gorilla,5,23000000,same
460,chimp,X,157000000,1892.4109,human,X,33000000,same
461,chimp,X,1000000,452.4102,gorilla,X,0,same
480,chimp,9,7000000,1516.9814,gorilla,9,25000000,same
487,chimp,5,114000000,1512.0510000000006,human,5,108000000,same
489,chimp,3,162000000,1992.2772,human,3,159000000,same
505,chimp,22,1000000,1818.5513,human,22,1000000,same
535,chimp,8,129000000,1488.2943,human,8,94000000,same
542,chimp,3,155000000,1684.2689,human,3,166000000,same
548,chimp,9,90000000,1910.0574,human,9,71000000,same
559,chimp,7,204000000,929.7264,human,7,6000000,same
562,chimp,11,92000000,1709.5046,human,11,126000000,same
565,chimp,5,123000000,1676.3788,human,5,100000000,same
578,chimp,6,3000000,1431.2913,gorilla,6,24000000,same
622,chimp,6,168000000,1933.8601,gorilla,6,159000000,same
