sp,chr,loc,score,msp,mchr,mloc,color
gorilla,16,71150000,1851,human,16,66050000,inversed
gorilla,16,71150000,761,human,16,66000000,inversed
human,16,47500000,2436,gorilla,16,51550000,same orientation
human,16,47500000,2349,chimp,16,49350000,same orientation
human,16,47500000,553,chimp,16,49300000,same orientation
human,16,47500000,323,gorilla,16,51600000,same orientation
human,16,19600000,2292,gorilla,16,21650000,same orientation
human,16,19600000,1734,chimp,16,20600000,same orientation
human,16,19600000,1128,chimp,16,20650000,same orientation
chimp,16,42000000,506,gorilla,16,32850000,inversed
gorilla,16,28300000,1867,human,16,25600000,same orientation
gorilla,16,28300000,826,human,16,25550000,same orientation
chimp,16,79100000,1446,human,16,27700000,same orientation
chimp,16,79100000,1011,human,16,27750000,same orientation
human,16,57800000,2988,chimp,16,60400000,inversed
chimp,16,27200000,1389,human,16,20900000,same orientation
chimp,16,27200000,1156,human,16,20950000,same orientation
chimp,16,75800000,2437,human,16,73250000,same orientation
chimp,16,75800000,1048,gorilla,16,78100000,same orientation
chimp,16,75800000,905,gorilla,16,78150000,same orientation
human,16,4850000,2428,chimp,16,5150000,same orientation
human,16,4850000,1131,gorilla,16,5050000,same orientation
human,16,4850000,1105,gorilla,16,5100000,same orientation
human,16,4850000,393,chimp,16,5100000,same orientation
human,16,8150000,2624,chimp,16,8500000,same orientation
human,16,8150000,1930,gorilla,16,8500000,same orientation
gorilla,16,55600000,2672,chimp,16,53350000,same orientation
gorilla,16,55600000,2623,human,16,51450000,same orientation
gorilla,16,27650000,2443,chimp,16,23500000,inversed
gorilla,16,27650000,263,chimp,16,23450000,inversed
human,16,36900000,1957,chimp,16,39700000,same orientation
human,16,36900000,1105,chimp,16,39750000,same orientation
human,16,64300000,3092,chimp,16,73050000,same orientation
gorilla,16,62600000,2682,human,16,58100000,same orientation
human,16,53300000,2908,chimp,16,55250000,same orientation
human,16,53300000,2118,gorilla,16,57600000,same orientation
human,16,53300000,425,gorilla,16,57650000,same orientation
gorilla,16,25800000,1394,chimp,16,25250000,inversed
gorilla,16,25800000,1247,chimp,16,25300000,inversed
chimp,16,16950000,3161,human,16,17000000,inversed
chimp,16,10200000,2152,human,16,9800000,same orientation
chimp,16,10200000,2089,gorilla,16,10200000,same orientation
chimp,16,10200000,888,human,16,9850000,same orientation
chimp,16,10200000,598,gorilla,16,10150000,same orientation
gorilla,16,600000,2824,human,16,2050000,inversed
gorilla,16,600000,881,chimp,16,650000,inversed
gorilla,16,600000,853,chimp,16,600000,inversed
gorilla,16,41000000,1574,human,16,37150000,same orientation
gorilla,16,41000000,1108,human,16,37200000,same orientation
gorilla,16,23850000,2481,human,16,20950000,inversed
gorilla,16,23850000,1722,chimp,16,27200000,inversed
gorilla,16,23850000,765,chimp,16,27250000,inversed
chimp,16,39450000,1662,gorilla,16,38000000,inversed
chimp,16,39450000,1283,gorilla,16,37950000,inversed
chimp,16,69300000,2572,human,16,65550000,inversed
chimp,16,150000,1831,human,16,2600000,same orientation
chimp,16,150000,1006,gorilla,16,50000,same orientation
chimp,16,150000,522,gorilla,16,0,same orientation
human,16,75050000,1879,chimp,16,78150000,same orientation
human,16,36650000,2554,gorilla,16,37950000,inversed
human,16,36650000,643,gorilla,16,37900000,inversed
human,16,66100000,2582,chimp,16,68700000,inversed
human,16,66100000,1727,gorilla,16,71100000,inversed
human,16,66100000,760,gorilla,16,71050000,inversed
human,16,66100000,304,chimp,16,68750000,inversed
gorilla,16,44550000,2843,human,16,40600000,same orientation
chimp,16,68250000,1336,gorilla,16,70600000,same orientation
chimp,16,68250000,1106,gorilla,16,70650000,same orientation
gorilla,16,39050000,813,human,16,35650000,same orientation
gorilla,16,39050000,555,chimp,16,38400000,same orientation
gorilla,16,39050000,271,chimp,16,38450000,same orientation
gorilla,16,67350000,2757,chimp,16,64950000,same orientation
gorilla,16,40850000,3021,chimp,16,36600000,inversed
gorilla,16,40850000,1567,human,16,33850000,inversed
gorilla,16,40850000,1557,human,16,33800000,inversed
human,16,56650000,679,gorilla,16,23050000,same orientation
human,16,56650000,471,chimp,16,62250000,same orientation
human,16,56650000,399,gorilla,16,19500000,same orientation
human,16,56650000,394,chimp,16,81450000,same orientation
human,16,56650000,282,chimp,16,29200000,same orientation
human,16,56650000,268,chimp,16,18500000,same orientation
gorilla,16,69500000,1896,human,16,67650000,inversed
gorilla,16,69500000,936,human,16,67700000,inversed
human,16,60150000,1535,gorilla,16,60350000,inversed
human,16,60150000,880,chimp,16,57900000,inversed
human,16,60150000,859,gorilla,16,60100000,inversed
human,16,60150000,378,gorilla,16,63550000,inversed
human,16,30600000,1684,chimp,16,43200000,inversed
human,16,30600000,874,chimp,16,43100000,inversed
human,16,30600000,725,chimp,16,31600000,inversed
human,16,30600000,655,chimp,16,31650000,inversed
human,16,30600000,649,chimp,16,43000000,inversed
human,16,30600000,574,chimp,16,43250000,inversed
human,16,30600000,418,gorilla,16,34700000,inversed
gorilla,16,39250000,3048,human,16,35400000,inversed
gorilla,16,39250000,2332,chimp,16,38200000,inversed
gorilla,16,39250000,773,chimp,16,38150000,inversed
human,16,32850000,2241,gorilla,16,36850000,inversed
human,16,32850000,1192,gorilla,16,36900000,inversed
chimp,16,21000000,1383,human,16,26700000,inversed
chimp,16,71750000,2116,gorilla,16,74300000,inversed
chimp,16,71750000,553,gorilla,16,74250000,inversed
gorilla,16,50350000,2380,chimp,16,48100000,same orientation
gorilla,16,50350000,2244,human,16,46250000,same orientation
gorilla,16,50350000,510,human,16,46300000,same orientation
gorilla,16,7900000,2468,human,16,7550000,same orientation
gorilla,16,7900000,1641,chimp,16,7900000,same orientation
gorilla,16,7900000,844,chimp,16,7950000,same orientation
gorilla,16,42600000,1951,chimp,16,34850000,inversed
gorilla,16,42600000,1181,chimp,16,34900000,inversed
human,16,61650000,1977,chimp,16,70350000,same orientation
human,16,61650000,405,chimp,16,70400000,same orientation
chimp,16,4900000,2093,gorilla,16,4850000,same orientation
chimp,16,4900000,1345,human,16,4650000,same orientation
chimp,16,4900000,752,human,16,4600000,same orientation
chimp,16,8000000,2438,gorilla,16,7950000,same orientation
chimp,16,8000000,1641,human,16,7650000,same orientation
chimp,16,8000000,1190,human,16,7600000,same orientation
gorilla,16,44650000,1524,chimp,16,32850000,inversed
gorilla,16,44650000,1237,chimp,16,32900000,inversed
human,16,42050000,3235,chimp,16,43800000,same orientation
human,16,42050000,2052,gorilla,16,46000000,same orientation
human,16,42050000,826,gorilla,16,45950000,same orientation
chimp,16,77700000,2585,gorilla,16,80250000,inversed
chimp,16,27050000,2346,gorilla,16,24050000,inversed
chimp,16,27050000,295,gorilla,16,24000000,inversed
human,16,34800000,2485,gorilla,16,39850000,inversed
gorilla,16,37600000,401,human,16,63100000,same orientation
gorilla,16,37600000,383,human,16,9600000,same orientation
gorilla,16,37600000,379,chimp,16,31850000,same orientation
gorilla,16,37600000,378,human,16,19550000,same orientation
gorilla,16,37600000,363,human,16,64600000,same orientation
gorilla,16,37600000,349,human,16,31650000,same orientation
gorilla,16,37600000,348,chimp,16,20600000,same orientation
chimp,16,62350000,509,human,16,56050000,inversed
chimp,16,62350000,455,human,16,56000000,inversed
gorilla,16,69500000,2609,chimp,16,67100000,same orientation
gorilla,16,28800000,2623,chimp,16,22350000,inversed
chimp,16,32400000,3271,human,16,41200000,inversed
chimp,16,32400000,2632,gorilla,16,45100000,inversed
chimp,16,32400000,433,gorilla,16,45050000,inversed
human,16,58000000,1836,gorilla,16,62500000,same orientation
human,16,58000000,1332,gorilla,16,62450000,same orientation
human,16,54900000,2490,chimp,16,56900000,same orientation
human,16,54900000,2063,gorilla,16,59150000,same orientation
chimp,16,17800000,2892,gorilla,16,18450000,same orientation
chimp,16,45200000,2643,human,16,43400000,same orientation
chimp,16,45200000,2489,gorilla,16,47400000,same orientation
human,16,58650000,1751,chimp,16,59550000,inversed
human,16,58650000,1380,chimp,16,59500000,inversed
human,16,25500000,1631,gorilla,16,28200000,same orientation
gorilla,16,57250000,338,chimp,16,54900000,inversed
gorilla,16,57250000,305,human,16,52950000,inversed
gorilla,16,14000000,2476,chimp,16,13850000,same orientation
gorilla,16,14000000,1406,human,16,13400000,same orientation
