,sp,chr,loc,scr,ms,mc,ml,orientation
1,gorilla,10,30000000,1629.108,human,10,9000000,same
3,gorilla,18,64000000,1527.7349,chimp,18,55000000,same
9,gorilla,22,34000000,1512.7034,human,22,32000000,same
12,gorilla,4,106000000,1340.5115,chimp,4,96000000,same
16,gorilla,12,110000000,1404.6566,chimp,12,107000000,same
21,gorilla,3,196000000,1438.3625,human,3,192000000,same
23,gorilla,2A,21000000,1563.3077,chimp,2A,53000000,same
24,gorilla,11,51000000,2085.714,human,11,8000000,same
33,gorilla,2A,16000000,1632.4532,chimp,2A,58000000,same
34,gorilla,11,66000000,1800.5353,human,11,60000000,same
36,gorilla,19,32000000,1681.7341,chimp,19,40000000,same
46,gorilla,12,127000000,1553.0553,chimp,12,90000000,same
52,gorilla,14,79000000,1551.3035,human,14,83000000,same
59,gorilla,15,18000000,1611.469,human,15,13000000,same
66,gorilla,18,53000000,1444.7948,chimp,18,66000000,same
67,gorilla,15,1000000,1643.8284,chimp,15,0,same
69,gorilla,5,15000000,1462.2203,chimp,17,70000000,same
81,gorilla,17,83000000,1696.6108,chimp,5,8000000,same
94,gorilla,6,148000000,1916.3934,human,6,114000000,same
95,gorilla,4,74000000,1389.0874,chimp,4,64000000,same
128,gorilla,5,22000000,1653.3870000000006,human,17,57000000,same
132,gorilla,X,40000000,1956.5399,chimp,X,19000000,same
140,gorilla,11,33000000,1355.7081,chimp,11,21000000,same
142,gorilla,2A,43000000,1576.0686,chimp,2A,31000000,same
174,gorilla,2B,3000000,1474.16,human,2,110000000,same
187,gorilla,18,31000000,1507.0829,human,18,28000000,same
194,gorilla,4,153000000,438.5429,human,X,90000000,same
201,gorilla,12,1000000,1022.93555,human,12,4000000,same
214,gorilla,19,50000000,1516.3569,human,19,49000000,same
230,gorilla,16,80000000,1998.7778,human,16,75000000,same
236,gorilla,X,15000000,348.3168,chimp,X,44000000,same
240,gorilla,5,77000000,1818.8391,human,5,132000000,same
246,gorilla,X,22000000,1970.6349,chimp,X,36000000,same
250,gorilla,5,40000000,1420.7120000000002,human,17,38000000,same
280,gorilla,12,36000000,794.9448,human,12,31000000,same
283,gorilla,20,32000000,1617.6973,human,20,28000000,same
286,gorilla,17,29000000,1659.4028,chimp,5,46000000,same
295,gorilla,1,172000000,1541.9784,human,1,153000000,same
297,gorilla,9,95000000,1843.4589999999998,chimp,9,75000000,same
302,gorilla,7,104000000,1141.202,human,7,121000000,same
306,gorilla,18,6000000,1770.4153,chimp,18,9000000,same
307,gorilla,11,112000000,1991.3677,chimp,11,108000000,same
314,gorilla,11,125000000,1911.465,chimp,11,95000000,same
323,gorilla,1,145000000,1542.5145,chimp,1,168000000,same
329,gorilla,22,4000000,1249.063,chimp,22,5000000,same
332,gorilla,X,109000000,1553.5372,chimp,X,89000000,same
337,gorilla,5,88000000,773.64075,human,5,121000000,same
352,gorilla,8,140000000,1769.5529,chimp,8,86000000,same
372,gorilla,9,8000000,1227.0028,human,9,28000000,same
393,gorilla,6,45000000,1511.7621,human,6,53000000,same
419,gorilla,7,24000000,280.04587000000004,chimp,X,54000000,same
428,gorilla,13,35000000,1493.9696,chimp,13,38000000,same
432,gorilla,21,31000000,1916.7354,human,21,28000000,same
433,gorilla,1,110000000,1772.6604,human,1,103000000,same
438,gorilla,8,96000000,666.96,chimp,8,130000000,same
442,gorilla,2B,24000000,1741.835,human,2,136000000,same
450,gorilla,2B,13000000,1094.5907,chimp,2B,10000000,same
454,gorilla,X,88000000,1453.5873,chimp,X,110000000,same
455,gorilla,12,63000000,1394.1228,human,12,66000000,same
464,gorilla,1,94000000,1660.9701,chimp,1,101000000,same
467,gorilla,3,200000000,752.8262,human,3,176000000,same
469,gorilla,1,127000000,1924.5908,human,1,120000000,same
470,gorilla,7,151000000,1039.62,human,7,144000000,same
484,gorilla,11,99000000,1514.5131,human,11,105000000,same
485,gorilla,6,10000000,1545.1913,chimp,6,17000000,same
486,gorilla,5,128000000,1413.5746,human,5,145000000,same
500,gorilla,8,122000000,1666.2748,chimp,8,104000000,same
513,gorilla,7,71000000,1602.9839,chimp,7,171000000,same
536,gorilla,8,115000000,1719.586,chimp,8,111000000,same
541,gorilla,3,169000000,1467.8777,human,3,152000000,same
545,gorilla,3,38000000,1852.983,human,3,39000000,same
563,gorilla,6,27000000,1638.7351,chimp,6,0,same
568,gorilla,9,14000000,1597.4124,chimp,9,18000000,same
571,gorilla,1,40000000,1686.763,chimp,1,25000000,same
574,gorilla,6,163000000,1521.4366,chimp,6,164000000,same
599,gorilla,8,42000000,1954.4021,chimp,8,17000000,same
603,gorilla,12,80000000,1553.4275,human,12,101000000,same
608,gorilla,4,68000000,1490.2336,chimp,4,70000000,same
616,gorilla,10,142000000,1372.5095,chimp,10,127000000,same
617,gorilla,9,23000000,1486.3855,human,9,13000000,same
620,gorilla,1,77000000,1834.1309,chimp,1,55000000,same
623,gorilla,6,154000000,1550.9089,human,6,108000000,same
633,gorilla,14,65000000,1780.7252,human,14,61000000,same
641,gorilla,5,7000000,1777.6232,human,17,61000000,same
648,gorilla,7,92000000,1514.6570000000006,human,7,82000000,same
658,gorilla,10,2000000,1624.3807,human,10,3000000,same
674,gorilla,15,33000000,1526.8427,human,15,40000000,same
682,gorilla,18,78000000,253.65575,chimp,7,0,same
692,gorilla,19,19000000,1521.9589999999994,chimp,19,25000000,same
707,gorilla,2B,110000000,1789.0842,human,2,215000000,same
710,gorilla,14,52000000,1756.3566,human,14,74000000,same
711,gorilla,8,17000000,1579.4308,chimp,8,42000000,same
713,gorilla,13,9000000,1618.2094,human,13,12000000,same
733,gorilla,10,117000000,1806.0073,human,10,113000000,same
735,gorilla,9,76000000,1550.5494,human,9,66000000,same
736,gorilla,1,191000000,1069.8391,human,1,189000000,same
741,gorilla,10,120000000,1647.3339999999994,chimp,10,104000000,same
744,gorilla,9,41000000,1558.2722,chimp,9,115000000,same
748,gorilla,6,136000000,1469.8112,human,6,125000000,same
749,gorilla,1,15000000,1563.2542,human,1,15000000,same
753,gorilla,13,83000000,1254.6472,human,13,79000000,same
763,gorilla,8,20000000,1927.3039999999999,human,8,12000000,same
771,gorilla,15,66000000,1609.474,chimp,15,76000000,same
789,gorilla,11,18000000,1985.8783,human,11,41000000,same
799,gorilla,17,2000000,581.3101,chimp,17,1000000,same
843,gorilla,15,51000000,1694.9026,human,15,23000000,same
852,gorilla,3,117000000,1699.9646,human,3,98000000,same
854,gorilla,3,46000000,1450.4938,human,3,31000000,same
862,gorilla,5,161000000,1240.4696,human,5,171000000,same
865,gorilla,6,59000000,1617.6744,chimp,6,175000000,same
892,gorilla,10,86000000,1369.8670000000004,chimp,10,66000000,same
899,gorilla,2A,97000000,1641.6095,human,2,98000000,same
900,gorilla,5,156000000,1752.6658,chimp,5,143000000,same
904,gorilla,1,207000000,1688.4933,human,1,195000000,same
908,gorilla,3,120000000,1934.1981,human,3,95000000,same
914,gorilla,16,63000000,1598.3337,chimp,16,59000000,same
917,gorilla,1,159000000,1440.8151,human,1,166000000,same
933,gorilla,5,94000000,1112.0815,human,5,115000000,same
937,gorilla,20,19000000,1552.2256,chimp,20,7000000,same
945,gorilla,X,115000000,1405.5183,human,X,107000000,same
947,gorilla,17,35000000,2016.4281,human,5,65000000,same
963,gorilla,7,118000000,1460.7961,human,7,108000000,same
982,gorilla,9,89000000,1378.9,human,9,79000000,same
988,gorilla,8,109000000,1427.2377,chimp,8,117000000,same
1007,gorilla,5,103000000,1359.0186,human,5,106000000,same
1009,gorilla,3,175000000,1664.0613,human,3,146000000,same
1011,gorilla,3,24000000,1402.7444,human,3,53000000,same
1022,gorilla,3,142000000,1512.9218,human,3,179000000,same
1023,gorilla,3,13000000,1192.279,human,3,63000000,same
1037,gorilla,11,85000000,1183.3922,human,11,67000000,same
1040,gorilla,5,134000000,2064.4219,human,5,139000000,same
1059,gorilla,17,60000000,1943.009,chimp,5,77000000,same
1066,gorilla,X,94000000,1794.5505,chimp,X,104000000,same
1076,gorilla,4,97000000,1611.7808,chimp,4,105000000,same
1079,gorilla,20,7000000,1781.4462,chimp,20,19000000,same
1082,gorilla,1,88000000,1737.8959,human,1,99000000,same
1091,gorilla,16,36000000,1729.5353,chimp,16,43000000,same
1119,gorilla,X,140000000,1632.5,chimp,X,145000000,same
1127,gorilla,13,38000000,1404.1731,human,13,38000000,same
1131,gorilla,16,27000000,1487.5535,chimp,16,24000000,same
1135,gorilla,17,46000000,1630.5687,chimp,5,63000000,same
1144,gorilla,2B,29000000,1242.1499,human,2,131000000,same
