sp,chr,loc,score,msp,mchr,mloc
human,7,75000000,2153,gorilla,7,77000000,same orientation
human,7,75000000,1798,chimp,7,80000000,same orientation
human,7,75000000,643,chimp,7,79000000,same orientation
human,4,102000000,2322,chimp,4,87000000,inversed
gorilla,13,69000000,2033,chimp,13,68000000,same orientation
gorilla,13,69000000,2010,human,13,67000000,same orientation
human,12,119000000,1955,chimp,12,96000000,inversed
human,20,40000000,1954,chimp,20,43000000,same orientation
human,20,40000000,1724,gorilla,20,42000000,same orientation
chimp,12,14000000,1730,human,12,17000000,inversed
chimp,12,14000000,891,gorilla,12,17000000,inversed
gorilla,5,108000000,2037,human,5,101000000,inversed
human,12,44000000,1673,chimp,12,31000000,same orientation
human,12,44000000,1575,gorilla,12,44000000,same orientation
human,12,44000000,450,chimp,12,30000000,same orientation
chimp,7,165000000,2557,human,7,90000000,inversed
chimp,20,29000000,1414,chimp,10,40000000,inversed
chimp,20,29000000,1386,chimp,19,19000000,inversed
chimp,20,29000000,998,gorilla,10,52000000,inversed
chimp,20,29000000,994,chimp,12,21000000,inversed
chimp,20,29000000,991,chimp,7,207000000,inversed
chimp,20,29000000,955,chimp,16,43000000,inversed
chimp,20,29000000,920,gorilla,10,48000000,inversed
chimp,20,29000000,887,chimp,3,92000000,inversed
chimp,20,29000000,834,gorilla,10,53000000,inversed
chimp,12,134000000,2944,human,12,130000000,inversed
chimp,16,42000000,1290,human,16,31000000,inversed
chimp,16,42000000,279,gorilla,16,32000000,inversed
chimp,12,84000000,2456,human,12,60000000,same orientation
chimp,2B,1000000,2033,gorilla,2B,1000000,same orientation
chimp,9,13000000,1848,gorilla,9,19000000,inversed
gorilla,4,137000000,2158,chimp,4,127000000,same orientation
gorilla,4,137000000,2068,human,4,123000000,same orientation
gorilla,2B,2000000,1911,chimp,2B,1000000,same orientation
gorilla,17,17000000,1444,chimp,5,26000000,same orientation
gorilla,17,17000000,1403,human,5,74000000,same orientation
gorilla,17,17000000,573,human,5,75000000,same orientation
gorilla,17,17000000,463,chimp,5,27000000,same orientation
gorilla,8,128000000,2135,chimp,8,98000000,inversed
gorilla,15,13000000,2231,human,15,18000000,inversed
gorilla,15,13000000,2070,chimp,15,22000000,inversed
